X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
10,24.98298,121.54024,37.9
9,24.98034,121.53951,42.2
5,24.98746,121.54391,47.3
5,24.98746,121.54391,54.8
5,24.97937,121.54245,43.1
3,24.96305,121.51254,32.1
7,24.97933,121.53642,40.3
6,24.98042,121.54228,46.7
1,24.95095,121.48458,18.8
3,24.96731,121.51486,22.1
1,24.97349,121.53372,41.4
9,24.97433,121.5431,58.1
5,24.96515,121.53737,39.3
4,24.96108,121.51046,23.8
4,24.99156,121.53406,34.3
2,24.9824,121.54619,50.5
6,24.97744,121.54458,70.1
1,24.97544,121.53119,37.4
8,24.9675,121.54451,42.3
7,24.96772,121.54102,47.7
3,24.96314,121.51151,29.3
7,24.97528,121.54541,51.6
1,24.95204,121.54842,24.6
7,24.97528,121.54541,47.9
4,24.97353,121.53885,38.8
2,24.97542,121.51726,27
5,24.98085,121.54391,56.2
5,24.95593,121.53913,33.6
4,24.97419,121.53797,47
5,24.97563,121.54694,57.1
0,24.94826,121.49587,22.1
7,24.98281,121.53408,25
1,24.97349,121.53451,34.2
6,24.97841,121.54281,49.3
7,24.98419,121.54243,55.1
0,25.01459,121.51816,27.3
2,24.96386,121.51458,22.9
1,24.95204,121.54842,25.3
6,24.97201,121.54722,47.7
5,24.98203,121.54348,46.2
0,24.94155,121.50381,15.9
0,24.94297,121.50342,18.2
5,24.96305,121.53758,34.7
6,24.98748,121.54301,34.1
4,24.97445,121.54765,53.9
8,24.97015,121.54494,38.3
9,24.9703,121.54458,42
3,24.97563,121.53715,61.5
0,24.94684,121.49578,13.4
1,24.94925,121.49542,13.2
4,24.974,121.53842,44.2
1,24.95402,121.55282,20.7
3,24.97419,121.5175,27
5,24.96515,121.53737,38.9
5,24.98203,121.54348,51.7
0,24.94968,121.53009,13.7
8,24.97254,121.54059,41.9
7,24.95744,121.53711,53.5
1,24.94925,121.49542,22.6
5,24.95776,121.53438,42.4
2,24.96365,121.51471,21.3
6,24.97585,121.54516,63.2
3,24.96303,121.51254,27.7
4,24.97445,121.54765,55
0,24.96305,121.54915,25.3
8,24.97635,121.54329,44.3
6,24.96571,121.54089,50.7
5,24.96674,121.54067,56.8
6,24.97964,121.53805,36.2
5,24.98746,121.54391,42
9,24.97433,121.5431,59
3,24.97563,121.53715,40.8
8,24.97587,121.53913,36.3
0,24.94155,121.50381,20
10,24.98343,121.53762,54.4
1,24.95204,121.54842,29.5
3,24.97723,121.53767,36.8
3,24.96322,121.51237,25.6
2,24.97598,121.53381,29.8
1,24.95182,121.54887,26.5
4,24.97445,121.54765,40.3
6,24.96427,121.53964,36.8
7,24.96725,121.54252,48.1
3,24.96056,121.50831,17.7
7,24.96735,121.54464,43.7
9,24.96853,121.54413,50.8
1,24.9512,121.549,27
0,24.94297,121.50342,18.3
0,24.98573,121.52758,48
0,24.94783,121.50243,25.3
1,24.9748,121.53059,45.4
0,24.98569,121.5276,43.2
4,24.96108,121.51046,21.8
0,24.9492,121.53076,16.1
5,24.9663,121.54026,41
5,24.96674,121.54067,51.8
9,24.97433,121.5431,59.5
3,24.97746,121.53299,34.6
5,24.98203,121.54348,51
9,24.97433,121.5431,62.2
4,24.98872,121.53411,38.2
1,24.97371,121.52984,32.9
6,24.96571,121.54089,54.4
6,24.95618,121.53844,45.7
6,24.96398,121.5425,30.5
6,24.97744,121.54458,71
8,24.97707,121.54308,47.1
1,24.95204,121.54842,26.6
2,24.9726,121.53561,34.1
3,24.96299,121.51284,28.4
5,24.96674,121.54067,51.6
7,24.97701,121.54224,39.4
3,24.96044,121.51462,23.1
6,24.96172,121.53812,7.6
8,24.98155,121.54142,53.3
2,24.98092,121.54739,46.4
1,24.94375,121.47883,12.2
0,24.93885,121.50383,13
3,24.96622,121.51709,30.6
5,24.98203,121.54348,59.6
5,24.96515,121.53737,31.3
5,24.96515,121.53737,48
4,24.98199,121.54464,32.5
0,24.9711,121.5317,45.5
7,24.97528,121.54541,57.4
6,24.96571,121.54089,48.6
4,24.97838,121.53477,62.9
5,24.98085,121.54391,55
6,24.96674,121.54039,60.7
7,24.98086,121.54162,41
8,24.98092,121.53653,37.5
3,24.96299,121.51284,30.7
5,24.97433,121.53863,37.5
8,24.9866,121.54082,39.5
6,24.96604,121.54211,42.2
0,24.96357,121.54951,20.8
5,24.97937,121.54245,46.8
6,24.96495,121.54277,47.4
0,24.97843,121.52406,43.5
5,24.96515,121.53737,42.5
5,24.98203,121.54348,51.4
3,24.97213,121.51627,28.9
5,24.97017,121.54647,37.5
5,24.96515,121.53737,40.1
1,24.95204,121.54842,28.4
5,24.97563,121.54694,45.5
0,24.9711,121.5317,52.2
8,24.97017,121.54494,43.2
0,24.93293,121.51203,45.1
8,24.97349,121.54245,39.7
7,24.96719,121.54269,48.5
9,24.98118,121.53788,44.7
1,24.95204,121.54842,28.9
6,24.95418,121.53713,40.9
0,24.94297,121.50342,20.7
0,24.94155,121.50381,15.6
0,24.94883,121.52954,18.3
4,24.97886,121.53464,35.6
5,24.97937,121.54245,39.4
4,24.97886,121.53464,37.4
8,24.95836,121.53756,57.8
3,24.97723,121.53767,39.6
0,24.94297,121.50342,11.6
5,24.96674,121.54067,55.5
0,24.9711,121.5317,55.2
1,24.97694,121.55391,30.6
6,24.97744,121.54458,73.6
8,24.97408,121.54011,43.4
5,24.96299,121.5432,37.4
1,24.95468,121.55481,23.5
0,24.94741,121.49628,14.4
5,24.98085,121.54391,58.8
9,24.97433,121.5431,58.1
4,24.98326,121.5446,35.1
7,24.9805,121.53778,45.2
3,24.97005,121.53758,36.5
0,24.94867,121.49507,19.2
9,24.97697,121.54262,42
4,24.99176,121.53456,36.7
1,24.97493,121.5273,42.6
0,24.94898,121.49621,15.5
8,24.98489,121.54121,55.9
3,24.96299,121.51284,23.6
0,24.94155,121.50381,18.8
0,24.95495,121.56174,21.8
3,24.97285,121.5173,21.5
3,24.96322,121.51237,25.7
0,24.95464,121.56627,22
8,24.97707,121.54312,44.3
0,24.94297,121.50342,20.5
8,24.97945,121.53642,42.3
2,24.97371,121.54951,37.8
7,24.9675,121.54069,42.7
5,24.98246,121.54477,49.3
0,24.93363,121.51158,29.3
5,24.95425,121.5399,34.6
2,24.981,121.54713,36.6
8,24.96881,121.54089,48.2
7,24.96628,121.54196,39.1
8,24.96945,121.5449,31.6
0,24.96305,121.54915,25.5
5,24.98746,121.54391,45.9
3,24.97559,121.53713,31.5
5,24.98203,121.54348,46.1
1,24.95182,121.54887,26.6
3,24.97289,121.51728,21.4
10,24.98343,121.53762,44
3,24.97503,121.53692,34.2
1,24.95204,121.54842,26.2
8,24.97347,121.54271,40.9
5,24.97937,121.54245,52.2
1,24.9748,121.53059,43.5
2,24.98672,121.52091,31.1
9,24.97433,121.5431,58
3,24.96731,121.51486,20.9
8,24.972,121.54477,48.1
1,24.97153,121.53559,39.7
6,24.97838,121.54119,40.8
5,24.96515,121.53737,43.8
8,24.98102,121.53655,40.2
9,24.97703,121.54265,78.3
0,24.98569,121.5276,38.5
10,24.98123,121.53743,48.5
0,24.98569,121.5276,42.3
6,24.97814,121.5417,46
6,24.96571,121.54089,49
0,24.94155,121.50381,12.8
8,24.98059,121.53986,40.2
0,25.00115,121.51776,46.6
0,24.9489,121.53095,19
3,24.96299,121.51284,33.4
0,24.94235,121.50357,14.7
1,24.95032,121.49587,17.4
9,24.98016,121.53932,32.4
4,24.96007,121.51361,23.9
7,24.96606,121.54297,39.3
10,24.98322,121.53765,61.9
0,24.97668,121.52518,39
0,24.97668,121.52518,40.6
0,24.96334,121.54767,29.7
2,24.96412,121.5167,28.8
7,24.96606,121.54297,41.4
3,24.96357,121.51329,33.4
8,24.98236,121.53923,48.2
3,24.97213,121.51627,21.7
5,24.97258,121.54814,40.8
6,24.96412,121.54273,40.6
0,24.96211,121.54928,23.1
0,24.96357,121.54951,22.3
1,24.95743,121.47516,15
7,24.97429,121.53917,30
0,24.9496,121.53018,13.8
9,24.97433,121.5431,52.7
2,24.96464,121.51623,25.9
5,24.98254,121.54395,51.8
1,24.95095,121.48458,17.4
1,24.97519,121.53151,26.5
1,24.97501,121.5273,43.9
6,24.97744,121.54458,63.3
0,24.96334,121.54767,28.8
4,24.97073,121.517,30.7
3,24.95885,121.51359,24.4
5,24.98203,121.54348,53
3,24.96299,121.51284,31.7
7,24.96968,121.54522,40.6
4,24.97886,121.53464,38.1
3,24.96731,121.51486,23.7
5,24.97433,121.53863,41.1
5,24.97937,121.54245,40.1
0,24.96334,121.54767,23
8,24.96945,121.5449,26.5
5,24.96515,121.53737,40.5
1,24.97371,121.52984,29.3
7,24.97305,121.53994,41
7,24.96772,121.54102,49.7
5,24.95425,121.5399,34
3,24.96322,121.51237,27.7
6,24.95618,121.53844,44
3,24.97026,121.51642,31.1
6,24.96581,121.54086,45.4
9,24.98118,121.53788,44.8
1,24.9512,121.549,25.6
2,24.98674,121.51844,23.5
7,24.96735,121.54464,34.4
3,24.97509,121.53644,55.3
9,24.97433,121.5431,56.3
5,24.95425,121.5399,32.9
6,24.97841,121.5428,51
5,24.98203,121.54348,44.5
0,24.97217,121.53471,37
7,24.95744,121.53711,54.4
5,24.95674,121.534,24.5
7,24.96735,121.54464,42.5
6,24.9796,121.5414,38.1
3,24.96299,121.51252,21.8
4,24.99176,121.53456,34.1
4,24.97003,121.5458,28.5
0,24.94155,121.50381,16.7
10,24.98178,121.54059,46.1
4,24.96696,121.53992,36.9
0,24.97229,121.53445,35.7
3,24.95885,121.51359,23.2
0,24.97161,121.53423,38.4
3,24.96622,121.51668,29.4
5,24.98203,121.54348,55
1,24.97369,121.52979,50.2
0,24.9546,121.56627,24.7
5,24.98203,121.54348,53
0,24.94883,121.52954,19.1
2,24.95394,121.55174,24.7
4,24.97425,121.53814,42.2
9,24.97071,121.54069,78
5,24.96674,121.54067,42.8
6,24.97201,121.54722,41.6
2,24.9832,121.51812,27.3
7,24.96606,121.54297,42
2,24.97795,121.53451,37.5
10,24.98343,121.53762,49.8
5,24.95562,121.53872,26.9
0,24.93885,121.50383,18.6
4,24.98872,121.53411,37.7
1,24.97388,121.52981,33.1
6,24.97631,121.54436,42.5
2,24.96412,121.5167,31.3
8,24.97015,121.54494,38.1
7,24.95744,121.53711,62.1
3,24.97538,121.54971,36.7
3,24.97003,121.51696,23.6
0,24.93885,121.50383,19.2
0,24.94935,121.53046,12.8
0,24.94826,121.49587,15.6
2,24.97577,121.53475,39.6
5,24.96674,121.54067,38.4
5,24.99006,121.5346,22.8
6,24.96431,121.54063,36.5
2,24.98407,121.51748,35.6
5,24.96871,121.54651,30.9
9,24.96867,121.54331,36.3
5,24.98254,121.54395,50.4
0,24.97281,121.53265,42.9
2,24.97371,121.54951,37
9,24.97433,121.5431,53.5
8,24.98223,121.53597,46.6
0,24.998,121.5155,41.2
0,24.9711,121.5317,37.9
2,24.96412,121.5167,30.8
1,24.95719,121.47353,11.2
6,24.97585,121.54516,53.7
5,24.96674,121.54067,47
5,24.96515,121.53737,42.3
3,24.96324,121.51241,28.6
3,24.96143,121.50827,25.7
3,24.96299,121.51284,31.3
1,24.95204,121.54842,30.1
5,24.98085,121.54391,60.7
1,24.97417,121.52999,45.3
9,24.96853,121.54413,44.9
6,24.96571,121.54089,45.1
0,24.95505,121.55964,24.7
10,24.983,121.54022,47.1
8,24.97345,121.54093,63.3
4,24.98872,121.53408,40
10,24.98182,121.54086,48
7,24.97913,121.53666,33.1
4,24.96182,121.51222,29.5
1,24.95153,121.55254,24.8
2,24.96464,121.51531,20.9
1,24.97544,121.53119,43.1
3,24.96322,121.51237,22.8
5,24.98203,121.54348,42.1
5,24.95591,121.53956,51.7
7,24.96628,121.54196,41.5
1,24.9748,121.53059,52.2
5,24.97937,121.54245,49.5
0,24.96165,121.55011,23.8
2,24.96447,121.51649,30.5
8,24.95836,121.53756,56.8
8,24.97077,121.54634,37.4
6,24.97744,121.54458,69.7
5,24.98203,121.54348,53.3
9,24.98298,121.53981,47.3
0,24.93207,121.51597,29.3
4,24.97845,121.53889,40.3
0,24.94297,121.50342,12.9
10,24.983,121.54026,46.6
0,24.9711,121.5317,55.3
3,24.96042,121.51462,25.6
4,24.95957,121.51353,27.3
8,24.96756,121.5423,67.7
9,24.97151,121.5435,38.6
1,24.95155,121.55387,31.3
6,24.97927,121.53874,35.3
4,24.98872,121.53408,40.3
1,24.95544,121.4963,24.7
4,24.974,121.53842,42.5
1,24.97198,121.55063,31.9
4,24.99156,121.53406,32.2
2,24.96447,121.51649,23
1,24.97371,121.52984,37.3
5,24.97433,121.53863,35.5
3,24.96305,121.51254,27.7
1,24.97388,121.52981,28.5
9,24.98353,121.53966,39.7
5,24.98203,121.54348,41.2
6,24.95663,121.53765,37.2
7,24.97293,121.54026,40.5
0,24.95505,121.55964,22.3
3,24.9633,121.51243,28.1
0,24.94155,121.50381,15.4
9,24.97433,121.5431,50
7,24.97923,121.53986,40.6
5,24.96674,121.54067,52.5
9,24.97433,121.5431,63.9
